filename,type_a,type_b,type_c,type_d,echo,duration,relative_path
Pipistrellus_pipistrellus_DIG0112_11.wav,0,0,0,0,1,52.602078125,Echolocation\Pipistrellus_pipistrellus_DIG0112_11.wav
Pipistrellus_pipistrellus_DIG0141_08.wav,0,0,0,0,1,2.431901041666667,Echolocation\Pipistrellus_pipistrellus_DIG0141_08.wav
Pipistrellus_pipistrellus_DIG0141_29.wav,0,0,0,0,1,1.3653333333333333,Echolocation\Pipistrellus_pipistrellus_DIG0141_29.wav
Pipistrellus_pipistrellus_DIG0207_01.wav,0,0,0,0,1,25.32924,Echolocation\Pipistrellus_pipistrellus_DIG0207_01.wav
Pipistrellus_pipistrellus_DIG0213_01.wav,0,0,0,0,1,0.022109375,Echolocation\Pipistrellus_pipistrellus_DIG0213_01.wav
Pipistrellus_pipistrellus_DIG0213_02.wav,0,0,0,0,1,0.021057291666666665,Echolocation\Pipistrellus_pipistrellus_DIG0213_02.wav
Pipistrellus_pipistrellus_DIG0213_03.wav,0,0,0,0,1,0.018953125,Echolocation\Pipistrellus_pipistrellus_DIG0213_03.wav
Pipistrellus_pipistrellus_DIG0213_04.wav,0,0,0,0,1,0.018427083333333334,Echolocation\Pipistrellus_pipistrellus_DIG0213_04.wav
Pipistrellus_pipistrellus_DIG0213_05.wav,0,0,0,0,1,0.010322916666666666,Echolocation\Pipistrellus_pipistrellus_DIG0213_05.wav
Pipistrellus_pipistrellus_DIG0213_06.wav,0,0,0,0,1,0.047385416666666666,Echolocation\Pipistrellus_pipistrellus_DIG0213_06.wav
Pipistrellus_pipistrellus_DIG0213_07.wav,0,0,0,0,1,0.023994791666666668,Echolocation\Pipistrellus_pipistrellus_DIG0213_07.wav
Pipistrellus_pipistrellus_DIG0213_08.wav,0,0,0,0,1,0.014348958333333333,Echolocation\Pipistrellus_pipistrellus_DIG0213_08.wav
Pipistrellus_pipistrellus_DIG0213_09.wav,0,0,0,0,1,0.012635416666666666,Echolocation\Pipistrellus_pipistrellus_DIG0213_09.wav
Pipistrellus_pipistrellus_DIG0213_10.wav,0,0,0,0,1,0.0125,Echolocation\Pipistrellus_pipistrellus_DIG0213_10.wav
Pipistrellus_pipistrellus_Ski0014_54.wav,0,0,0,0,1,23.957864583333333,Echolocation\Pipistrellus_pipistrellus_Ski0014_54.wav
Pipistrellus_pipistrellus_Ski0019_18.wav,0,0,0,0,1,89.77375,Echolocation\Pipistrellus_pipistrellus_Ski0019_18.wav
Pipistrellus_pipistrellus_Ski0114_S2_From0634912ms_To0656318ms.wav,0,0,0,0,1,21.405989583333334,Echolocation\Pipistrellus_pipistrellus_Ski0114_S2_From0634912ms_To0656318ms.wav
Pipistrellus_pipistrellus_Ski0114_S2_From1881860ms_To1900334ms.wav,0,0,0,0,1,18.474302083333335,Echolocation\Pipistrellus_pipistrellus_Ski0114_S2_From1881860ms_To1900334ms.wav
Pipistrellus_pipistrellus_Ski0115_S2_From1112455ms_To1132732ms.wav,0,0,0,0,1,20.27753125,Echolocation\Pipistrellus_pipistrellus_Ski0115_S2_From1112455ms_To1132732ms.wav
Pipistrellus_pipistrellus_Ski0115_S2_From1183469ms_To1197310ms.wav,0,0,0,0,1,13.840583333333333,Echolocation\Pipistrellus_pipistrellus_Ski0115_S2_From1183469ms_To1197310ms.wav
XC1001698 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,14.189333333333334,type C\XC1001698 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004457 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1004457 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004458 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1004458 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004459 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1004459 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1004460 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1004460 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1005396 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,20.3956224,type D\XC1005396 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,0,0,1,29.9995,type B\XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006433 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,19.2015,type B\XC1006433 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006436 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1006436 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006918 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,15.207,type C\XC1006918 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1006920 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,22.676,type C\XC1006920 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008065 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1008065 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008066 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,1,1,0,1,29.9995,type B\XC1008066 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008567 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,15.016,type C\XC1008567 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008570 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1008570 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008575 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1008575 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008689 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,1.5024128,type D\XC1008689 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008692 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,0,1,1,2.0865024,type D\XC1008692 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008953 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,13.6595,type C\XC1008953 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008955 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,29.9995,type C\XC1008955 - Common Pipistrelle - Pipistrellus pipistrellus.wav
XC1008958 - Common Pipistrelle - Pipistrellus pipistrellus.wav,1,0,1,0,1,24.9645,type A\XC1008958 - Common Pipistrelle - Pipistrellus pipistrellus.wav
