filename,type_a,type_b,type_c,type_d,echo,top_folder,subfolder,subtype,species_common,species_latin,relative_path
XC1000403 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1000403 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1000404 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1000404 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1001197 - Eurasian Serotine - Eptesicus serotinus.wav,1,1,1,0,0,type A+type B+type C,roosting,B.roosting+C.i+type_a,Eurasian Serotine,Eptesicus serotinus,type A\XC1001197 - Eurasian Serotine - Eptesicus serotinus.wav
XC1001200 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,0,0,0,type B,roosting,B.roosting,Eurasian Serotine,Eptesicus serotinus,type B\roosting\XC1001200 - Eurasian Serotine - Eptesicus serotinus.wav
XC1001202 - Eurasian Serotine - Eptesicus serotinus.wav,0,1,1,0,0,type B+type C,roosting,B.roosting+C.i,Eurasian Serotine,Eptesicus serotinus,type B\roosting\XC1001202 - Eurasian Serotine - Eptesicus serotinus.wav
XC1001203 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,0,type C,C.i,C.i,Eurasian Serotine,Eptesicus serotinus,type C\C.i\XC1001203 - Eurasian Serotine - Eptesicus serotinus.wav
XC1001463 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,0,type D,Thrills Nathusius,D.thrills_nathusius,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1001463 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1001466 - Common Noctule - Nyctalus noctula.wav,0,0,1,1,1,echolocation+type C+type D,Noctule,C.noctule+D.noctule+echolocation,Common Noctule,Nyctalus noctula,type C\Noctule\XC1001466 - Common Noctule - Nyctalus noctula.wav
XC1001697 - Eurasian Serotine - Eptesicus serotinus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Eurasian Serotine,Eptesicus serotinus,type C\General\XC1001697 - Eurasian Serotine - Eptesicus serotinus.wav
XC1003591 - Pond Myotis - Myotis dasycneme.wav,0,1,0,0,1,echolocation+type B,in flight,B.in_flight+echolocation,Pond Myotis,Myotis dasycneme,type B\in flight\XC1003591 - Pond Myotis - Myotis dasycneme.wav
XC1005386 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part E Nathusius,D.part_e_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part E Nathusius\XC1005386 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1005387 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Part D Nathusius,D.part_d_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Part D Nathusius\XC1005387 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1005388 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav,0,0,0,1,1,echolocation+type D,Thrills Nathusius,D.thrills_nathusius+echolocation,Nathusius's Pipistrelle,Pipistrellus nathusii,type D\Thrills Nathusius\XC1005388 - Nathusius's Pipistrelle - Pipistrellus nathusii.wav
XC1005624 - Brown Long-eared Bat - Plecotus auritus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Brown Long-eared Bat,Plecotus auritus,type C\General\XC1005624 - Brown Long-eared Bat - Plecotus auritus.wav
XC1005626 - Brown Long-eared Bat - Plecotus auritus.wav,0,0,1,0,1,echolocation+type C,General,C.general+echolocation,Brown Long-eared Bat,Plecotus auritus,type C\General\XC1005626 - Brown Long-eared Bat - Plecotus auritus.wav
XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav,0,0,1,0,1,echolocation+type C,C.i,C.i+echolocation,Common Pipistrelle,Pipistrellus pipistrellus,type C\C.i\XC1006424 - Common Pipistrelle - Pipistrellus pipistrellus.wav
